Timestamp	Business Name	Contact numbers	Business address	Email address	Web Address	Facebook Address	Service provided	Opening hours	Category	Path	LastUpdate Timestamp	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20
07/10/2025 15:31:36	Riya architect engineers	+880 1670 447976	Sylhet 						Architect	riya-architect-engineers																	
07/10/2025 15:31:36	Sthapotta Prokously	+880 1552 428418	56, Ground Floor, Sylhet 						Architect	sthapotta-prokously																	
07/10/2025 15:31:36	MK Home Design & Architect	+880 1675 648231	1st Floor, Nur Mansion, VIP Road, Jitu Miyar Point, Sheikh Ghat, Sylhet 						Architect	mk-home-design-architect																	
07/10/2025 15:31:36	Nirman	+880 1711 376837	Tamabil Rd, Sylhet 						Architect	nirman																	
07/10/2025 15:31:36	Chouchala Architectural Engineering	+880 1628 235679	Mirabazar-Subhanighat Rd, Sylhet 						Architect	chouchala-architectural-engineering																	
07/10/2025 15:31:36	City Planning	+880 1714 768538	Floor-3, City Planning, Sylhet Millennium, Sylhet 						Architect	city-planning																	
07/10/2025 15:31:36	The Surma Associates, Architects & Engineers	+880 1722 380217	The Surma Associates, Architects & Engineers, 120(Ground Floor), Niamah Tower, Chondipul point, Sylhet 						Architect	the-surma-associates-architects-engineers																	
07/10/2025 15:31:36	Imarat Construction Architect & Engineering	+880 1819 084667	Imarat Construction Architect & Engineering, Sylhet 						Architect	imarat-construction-architect-engineering																	
07/10/2025 15:31:36	Quality Builders & Consultant	+880 1686 163977	Ground Floor Shop#10, Star Plaza, Sylhet 						Architect	quality-builders-consultant																	
07/10/2025 15:31:36	Future Plan Engineering Consultancy FPEC	+8801723441442; +8801711033028	05 saodagor Tola Sylhet	futureplan.syl@gmail.com		https://www.facebook.com/@futureplanengineeringconsultancy		10:00	Architect	future-plan-engineering-consultancy-fpec																	
07/10/2025 15:31:36	Aarong	9678444777	413 Nayasarak Rd, Sylhet						Arts & Crafts	aarong																	
07/10/2025 15:31:36	Ashik Arts	01723646525	252 City Super Market, Bondorbazar						Arts & Crafts	ashik-arts																	
07/10/2025 15:31:36	Lucky Kutir Shilpo	0821 715347	Station Road						Arts & Crafts	lucky-kutir-shilpo																	
07/10/2025 15:31:36	Habib Art	01845285070, 01687315375	Hazrat Shahjalal Road, Zindabazar						Arts & Crafts	habib-art																	
07/10/2025 15:31:36	Desh Art & Sign	01711376799	20 No Madhushahid, Medical Road, Sylhet						Arts & Crafts	desh-art-sign																	
07/10/2025 15:31:36	Sylhet Mrit Shilpo & Handi Crafts	+880 1755 841695	Dadapir Road, Roynagar, East Mira Bazar, Sylhet 						Arts & Crafts	sylhet-mrit-shilpo-handi-crafts																	
07/10/2025 15:31:36	Preserved Memories	+880 1329 401118	Sylhet 						Arts & Crafts	preserved-memories																	
07/10/2025 15:31:36	Shilpayan	+880 1616 926261	10 No, Mosjid Goli, Block -B, Laldighirpar, Notun Hokars Market, Sylhet 						Arts & Crafts	shilpayan																	
07/10/2025 15:31:36	Sylhet Kutir Shilpo	+880 1913 024518	Dorgah Gate, Sylhet 						Arts & Crafts	sylhet-kutir-shilpo																	
07/10/2025 15:31:36	Art and craft	+880 1788 095299	Gutatikor, Sylhet 						Arts & Crafts	art-and-craft																	
07/10/2025 15:31:36	Kites craft	+880 1676 942409	milinium market, Sylhet 						Arts & Crafts	kites-craft																	
07/10/2025 15:31:36	Kushiara Fancy Store	+880 1721 043631	1/3, Mitali Mansion, Zindabazar, Sylhet 						Arts & Crafts	kushiara-fancy-store																	
07/10/2025 15:31:36	Sylhet Art And Autistic School	+880 1712 737399	House-35, Sylhet Art And Autistic School, BYC Complex, Main Road Kumarpara Rd, Sylhet 						Arts & Crafts	sylhet-art-and-autistic-school																	
07/10/2025 15:31:36	Education Park Art School.	+880 1771 848484	Sylhet 						Arts & Crafts	education-park-art-school																	
07/10/2025 15:31:36	Ema's Craft world	+880 1721 926980	B/3, 3103 						Arts & Crafts	emas-craft-world																	
07/10/2025 15:31:36	LR Enterprises	+880 1720 924448	Sylhet 						Arts & Crafts	lr-enterprises																	
07/10/2025 15:31:36	J Art Sylhet	+880 1717 187476	Hazrat Shah Paran 						Arts & Crafts	j-art-sylhet																	
07/10/2025 15:31:36	Youth Shop	+880 1612 196884	Rangmahal Tower, 102, Ground Floor, Bandar Bazar Rd, Sylhet 						Arts & Crafts	youth-shop																	
07/10/2025 15:31:36	Siam & Sumon Crockeries	+880 1712 237575	Bairagi Bazar, 3130 						Arts & Crafts	siam-sumon-crockeries																	
07/10/2025 15:31:36	Mati	+880 1711 669403	Tamabil Rd, Sylhet 						Arts & Crafts	mati																	
07/10/2025 15:31:36	Mayor Kamran Chatwar	+880 1711 967030	N2, City Point, Sylhet 						Arts & Crafts	mayor-kamran-chatwar																	
07/10/2025 15:31:36	SGK Sumon		23/1 Hawapara Rd, Sylhet 						Arts & Crafts	sgk-sumon																	
07/10/2025 15:31:36	Shilpi Art	+880 1673 367637	Shilpi Art, Waves, Sylhet 						Arts & Crafts	shilpi-art																	
07/10/2025 15:31:36	Sylhet Sign		10 Airport Rd, Sylhet 						Arts & Crafts	sylhet-sign																	
07/10/2025 15:31:36	Artistry	+880 1736 149746	Artistry, Sylhet 						Arts & Crafts	artistry																	
07/10/2025 15:31:36	Hason Raja Museum	0821 714323	Raja Kunjo, Jallar Par Road, Zindabazar						Attraction	hason-raja-museum																	
07/10/2025 15:31:36	Muktijoddah Songshad		Zindabazar						Attraction	muktijoddah-songshad																	
07/10/2025 15:31:36	Osmani Museum		Nur Manjil, Noya Sorak						Attraction	osmani-museum																	
07/10/2025 15:31:36	Khadimnagar National Park		Khadim Nagar						Attraction	khadimnagar-national-park																	
07/10/2025 15:31:36	Lawachara National Park		Lawachara, Kamalganj Upazila, Moulvibazar, Sylhet Division 						Attraction	lawachara-national-park																	
07/10/2025 15:31:36	Rema-Kelenga Wildlife Sanctuary		Rema Kalenge, Habiganj 						Attraction	remakelenga-wildlife-sanctuary																	
07/10/2025 15:31:36	Maloni Chora Tea Estate	0821 719133, 0821 719144	Maloni Chora						Attraction	maloni-chora-tea-estate																	
07/10/2025 15:31:36	Ahmed Tea Company	0821 716552, 0821 718815	Sylhet						Attraction	ahmed-tea-company																	
07/10/2025 15:31:36	Ali Bahar Tea Estates	0821 713395, 0821 720122	Sylhet						Attraction	ali-bahar-tea-estates																	
07/10/2025 15:31:36	Kali Tea Estates	0821 716660	Sylhet						Attraction	kali-tea-estates																	
07/10/2025 15:31:36	Gobindo Pur Tea Estates	0821 714605	Sylhet						Attraction	gobindo-pur-tea-estates																	
07/10/2025 15:31:36	Gems Finlay Tea Estates	0821 715245	Sylhet						Attraction	gems-finlay-tea-estates																	
07/10/2025 15:31:36	Dawondi Tea Estates	0821 715206	Sylhet						Attraction	dawondi-tea-estates																	
07/10/2025 15:31:36	Tara Pur Tea Estates	0821 713479	Sylhet						Attraction	tara-pur-tea-estates																	
07/10/2025 15:31:36	Fulbari Tea Estates	0821 718815	Sylhet						Attraction	fulbari-tea-estates																	
07/10/2025 15:31:36	Borojan Tea Estates	0821 760947	Sylhet						Attraction	borojan-tea-estates																	
07/10/2025 15:31:36	Mathiura Tea Company 	0821 761082, 01711800360	Sylhet						Attraction	mathiura-tea-company																	
07/10/2025 15:31:36	Maloni Chora	0821 717177	Srimongol						Attraction	maloni-chora																	
07/10/2025 15:31:36	Lakkatura Tea Estates	0821 716216	Lakkatura						Attraction	lakkatura-tea-estates																	
07/10/2025 15:31:36	Siraj Nogor Tea Estates	0821 714204	Sylhet						Attraction	siraj-nogor-tea-estates																	
07/10/2025 15:31:36	Mumin Chora Tea Estates	0821 761082	Sylhet						Attraction	mumin-chora-tea-estates																	
07/10/2025 15:31:36	Adventure World Amusement Park		Salutikor Rd, Sylhet						Attraction	adventure-world-amusement-park																	
07/10/2025 15:31:36	Dreamland Amusement & Water Park	0821 840727	Dreamland Park Rd, Sylhet						Attraction	dreamland-amusement-water-park																	
07/10/2025 15:31:36	Bonani Tea 	0821 718381	Amjad Ali Road, Kalighat						Attraction	bonani-tea																	
07/10/2025 15:31:36	Burjan Tea Estate 	0821 715519	Khadimnagr						Attraction	burjan-tea-estate																	
07/10/2025 15:31:36	Jafflong Tea Garden	0821 715219	Goainghat, Howapara						Attraction	jafflong-tea-garden																	
07/10/2025 15:31:36	M. Ahmed Tea & Lands Co. 	0821 716552	Dargamoholla						Attraction	m-ahmed-tea-lands-co																	
07/10/2025 15:31:36	AB Bank - Garden Tower		Garden Tower, Biswa Road, Shahjalal Upashahar						Bank	ab-bank-garden-tower																	
07/10/2025 15:31:36	AB Bank - Modhuban		Modhuban Super Market, Bondar Bazar						Bank	ab-bank-modhuban																	
07/10/2025 15:31:36	Arab Bangladesh Bank	0872 356057	Madaris Mansion, Bagbari						Bank	arab-bangladesh-bank																	
07/10/2025 15:31:36	Bangladesh Bank - Taltola	0821 725011	Taltola						Bank	bangladesh-bank-taltola																	
07/10/2025 15:31:36	Bangladesh Commerce Bank - Zindabazar	0821 723210	Jallar Par, West Zindabazar						Bank	bangladesh-commerce-bank-zindabazar																	
07/10/2025 15:31:36	BRAC Bank - Jawabazar		BDP Jawabazar Office						Bank	brac-bank-jawabazar																	
07/10/2025 15:31:36	BRAC Bank - Julia Shopping City	0861 6281719	Julia Shopping City, 111 Shantibagh,Central Road						Bank	brac-bank-julia-shopping-city																	
07/10/2025 15:31:36	BRAC Bank - Didar Shopping Complex	0821 720188	Didar Shopping Complex						Bank	brac-bank-didar-shopping-complex																	
07/10/2025 15:31:36	Dutch Bangla Bank  - East Zindabazar	0821 723242	358 East Zindabazar						Bank	dutch-bangla-bank-east-zindabazar																	
07/10/2025 15:31:36	Eastern Bank  - Chowhatta	0821 723242	891/KA, Firoz Center, Chowhatta						Bank	eastern-bank-chowhatta																	
07/10/2025 15:31:36	Exim Bank - Zindabazar	0821 722457	Al-Hamra Shoping Center, Zindabazar						Bank	exim-bank-zindabazar																	
07/10/2025 15:31:36	Islami Bank - Zindabazar	0821 2832422	Gallaria Shopping Complex, Zindabazar						Bank	islami-bank-zindabazar																	
07/10/2025 15:31:36	Islami Bank - Al-Jannat Plaza		Al-Jannat Plaza, T & T Road						Bank	islami-bank-aljannat-plaza																	
07/10/2025 15:31:36	Islami Bank - Choudhury Shopping Complex		Chowdhury Shopping Complex						Bank	islami-bank-choudhury-shopping-complex																	
07/10/2025 15:31:36	Islami Bank - Barlekha	01713425931	South Hajiganj Bazar, Barlekha						Bank	islami-bank-barlekha																	
07/10/2025 15:31:36	Islami Bank - Station Road		Ahsan Mansion, Station Road						Bank	islami-bank-station-road																	
07/10/2025 15:31:36	Islami Bank - Atiq Market	0862 688224	Atiq Market						Bank	islami-bank-atiq-market																	
07/10/2025 15:31:36	Islami Bank - Puran Bazar	0822 488105	Puran Bazar						Bank	islami-bank-puran-bazar																	
07/10/2025 15:31:36	Jamuna Bank - Zindbazar	0821 715409	Shohir Plaza, Zindabazar						Bank	jamuna-bank-zindbazar																	
07/10/2025 15:31:36	National Bank - Zindabazar	0821 717157	Idris Market (1st Floor), Zindabazar						Bank	national-bank-zindabazar																	
07/10/2025 15:31:36	Prime Bank - Shubhanigat	0821 723542	Alif Center, Shubhanighat						Bank	prime-bank-shubhanigat																	
07/10/2025 15:31:36	Pubali Bank - Bondor Bazar	0821 714029, 0821 716827	Bondar Bazar						Bank	pubali-bank-bondor-bazar																	
07/10/2025 15:31:36	Shahjalal Islami Bank - Amberkhana	0821 718698	297 Dargah Gate, Amberkhana						Bank	shahjalal-islami-bank-amberkhana																	
07/10/2025 15:31:36	Southeast Bank - Chowhatta	0821 720726, 0821 720277	Manru Shopping City, Chowhatta Mirboxtola Road						Bank	southeast-bank-chowhatta																	
07/10/2025 15:31:36	Standard Chartered Bank - Mirzajangal	0821 721209	Nirvana Inn, Ramer Dighir par, Mirzajangal						Bank	standard-chartered-bank-mirzajangal																	
07/10/2025 15:31:36	State Bank of India - Uposhahar	0821 719217	Rose View Complex, Biswa Rd, Shahjalal Uposhahar						Bank	state-bank-of-india-uposhahar																	
07/10/2025 15:31:36	The City Bank		Pourasava Road						Bank	the-city-bank																	
07/10/2025 15:31:36	Uttara Bank - Dhaka Dakshin	03799 587103	Dhaka Dakshin, Golapganj						Bank	uttara-bank-dhaka-dakshin																	
07/10/2025 15:31:36	Asia Bank - Subhanighat	0821 815844	Rahim Tower, Bishwa Road, Subhanighat						Bank	asia-bank-subhanighat																	
07/10/2025 15:31:36	Bangladesh Krishi Bank		Golapgonj Branch						Bank	bangladesh-krishi-bank																	
07/10/2025 15:31:36	NRB Bank - Sylhet Main Branch	0821 710282, 0821 710237	891 Manru Shopping City, Chowhatta, Sylhet						Bank	nrb-bank-sylhet-main-branch																	
07/10/2025 15:31:36	NRB Bank - Goala Bazar Branch	08242 56163	Al Murad Plaza, Goala Bazar, Osmaninagar Sylhet,						Bank	nrb-bank-goala-bazar-branch																	
07/10/2025 15:31:36	IFIC Bank - Laldhirpar	0821 715489, 01718958401	Laldighirpar, Sylhet						Bank	ific-bank-laldhirpar																	
07/10/2025 15:31:36	AB Bank - Taltola	0821 714052, 01711432967	Surma Tower, Taltola, Sylhet						Bank	ab-bank-taltola																	
07/10/2025 15:31:36	Brac Bank - Laldigir par	01755625508	Gulistan Complex (1st Floor), Laldigir Par, Sylhet						Bank	brac-bank-laldigir-par																	
07/10/2025 15:31:36	United Commercial Bank - Amorkhana	+880 821718181, 0171188375, 01717713453	Amborkhana, Sylhet						Bank	united-commercial-bank-amorkhana																	
07/10/2025 15:31:36	Sonali Bank - Khadim	+880 821 2870449, 01755583695, 01754185731	Khadim Nagar Branch, Sylhet						Bank	sonali-bank-khadim																	
07/10/2025 15:31:36	Bangladesh Krishi Bank - Zindabazar	+880 821 711952, 01712635931	Krishi Bank Bhaban, Zindabazar, Sylhet						Bank	bangladesh-krishi-bank-zindabazar																	
07/10/2025 15:31:36	Agrani Bank - Fenchugang		Fenchuganj, Sylhet 3116						Bank	agrani-bank-fenchugang																	
07/10/2025 15:31:36	Bank Alfalah Limited	0088 01711360589, 0821 2830679	582, East Mirabazar, Sylhet						Bank	bank-alfalah-limited																	
07/10/2025 15:31:36	Sonali Bank - Sunamgang	08723 56219, 01714704488	Sonali Bank, Chhatak Branch, Sunamganj						Bank	sonali-bank-sunamgang																	
07/10/2025 15:31:36	Sonali Bank - Dargagate	0821 717330	Hazrat Shahjalal Rd, Dargagate, Sylhet						Bank	sonali-bank-dargagate																	
07/10/2025 15:31:36	Dutch Bangla Bank - East Zindabazar	0821 712637, 01711923159	358 East Zindabazar, Sylhet						Bank	dutch-bangla-bank-east-zindabazar																	
07/10/2025 15:31:36	Union Bank - East Zindabazar	01973 065903	R.B Tower (1st Floor), East Zindabazar, Sylhet						Bank	union-bank-east-zindabazar																	
07/10/2025 15:31:36	Brac Bank - East Zindabazar	0821 727256, 01713493925	Symphony Heights, East Zindabazar, Baruthkhana, Sylhet						Bank	brac-bank-east-zindabazar																	
07/10/2025 15:31:36	Janata Bank - Amberkhana	0821 719605, 0821 714583, 01614500506	Amberkhana, Sylhet						Bank	janata-bank-amberkhana																	
07/10/2025 15:31:36	United Commercial Bank - Uposhahar	0821 727532, 01730 334185	Rose View Complex, Uposhahar Point, Sylhet						Bank	united-commercial-bank-uposhahar																	
07/10/2025 15:31:36	First Security Islami Bank - Amborkhana	+880 821 728202, 01913 786140	Moyen Complex, Waves-B-88, West Amborkhana, Sylhet						Bank	first-security-islami-bank-amborkhana																	
07/10/2025 15:31:36	AB Bank - Upashahar		Garden Tower, Biswa Road, Shahjalal Upashahar						Bank	ab-bank-upashahar																	
07/10/2025 15:31:36	AB Bank- Bondor Bazar		Modhuban Super Market, Bondar Bazar						Bank	ab-bank-bondor-bazar																	
07/10/2025 15:31:36	Arab Bangladesh Bank - Bagbari	0872 356057	Madaris Mansion, Bagbari						Bank	arab-bangladesh-bank-bagbari																	
07/10/2025 15:31:36	Jalalabad Auto Care & Servicing Centre		Plot A/1, Block B, Kumarpara Point						Bank ATM	jalalabad-auto-care-servicing-centre																	
07/10/2025 15:31:36	Dutch Bangla Bank ATM		Osmani Medical Road, Kazolshah						Bank ATM	dutch-bangla-bank-atm																	
07/10/2025 15:31:36	Standard Chartered Bank ATM		Mirzajungal						Bank ATM	standard-chartered-bank-atm																	
07/10/2025 15:31:36	Islami Bank ATM		mirzajungal						Bank ATM	islami-bank-atm																	
07/10/2025 15:31:36	Standard Chartered ATM		Hazrat Shahjalal Rd, Dorga Gate						Bank ATM	standard-chartered-atm																	
07/10/2025 15:31:36	AB Bank Limited	0821715736	Raj Manjil, Dargah Gate, Sylhet						Bank ATM	ab-bank-limited																	
07/10/2025 15:31:36	HSBC ATM		Hazrat Shahjalal Rd, Sylhet						Bank ATM	hsbc-atm																	
07/10/2025 15:31:36	BRAC Bank Limited ATM	01736935650	BRAC Bank ATM,Pallabi Trade Center,Subidbazar,Sunamganj Road,Sylhet						Bank ATM	brac-bank-limited-atm																	
07/10/2025 15:31:36	Dutch-Bangla Bank Limited ATM		Hazrat Shahjalal Rd, Sylhet						Bank ATM	dutchbangla-bank-limited-atm																	
07/10/2025 15:31:36	Dhaka Bank Limited ATM		West World Shopping City, Zindabazar, Jallarpar Rd, Sylhet						Bank ATM	dhaka-bank-limited-atm																	
